testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"314",10,1,"Building",2,27.7512466929,52.9957577633,2,27.374077429892065,50.375279343745405,2.6474825401330397,0
"315",10,1,"Building",0,28.235846582,35.5951202436,0,25.441759053047047,36.31806807932808,2.8861009498342804,0
"316",10,1,"Building",2,27.7016405859,46.324726442,2,26.28482657444149,38.14926276984203,8.297322953690534,0
"317",10,1,"Building",2,27.9021953829,39.1067143171,2,27.326342811913776,36.58831129015172,2.5834008573300604,0
"318",10,1,"Building",0,31.3000519989,33.8670601127,0,26.8359105090694,37.26063390563321,5.607575441249994,0
"321",10,1,"Building",0,22.9716988027,27.5439314627,0,27.58110338291495,32.09648380064969,6.478606591997832,0
"322",10,1,"Building",2,27.9523336706,29.2320727314,2,26.28482657444149,38.14926276984203,9.07176157631079,0
"325",10,1,"Building",2,35.7238171017,27.0766943831,1,28.83441049039357,28.997178885279737,7.152075515472785,1
"327",10,1,"Building",0,24.307378019,22.9095886419,0,19.140860182213647,24.26128553707926,5.340411131576744,0
"329",10,1,"Building",0,17.9825440131,22.7524923495,0,7.74469113189096,29.416481643307367,12.215661460815763,0
"333",10,1,"Building",2,7.73432111898,14.1968935699,2,10.896483702397129,13.493005005374716,3.239557271485219,0
"335",10,1,"Building",2,7.6494341693,19.4796789237,2,7.709768599729081,16.583655230667027,2.896652114787611,0
"336",10,1,"Building",2,2.49255437632,17.1034864242,2,17.85787350000932,16.180964580197383,15.392987959635214,0
"338",10,1,"Building",0,9.15574435206,24.2449074932,0,9.542574885461857,22.54466177827758,1.7436953153243313,0
"339",10,1,"Building",0,0.316690634106,31.6284370771,0,8.777872304684202,33.15824166048222,8.598365968360836,0
"340",10,1,"Building",2,0.0,41.6294754392,2,6.817711374693083,43.4919716983736,7.067537103125464,0
"341",10,1,"Building",2,7.8599899416,47.554094043,2,6.6033570629384535,50.46933701752567,3.174550014136566,0
"342",10,1,"Building",2,7.3718902781,52.0094549567,2,6.6033570629384535,50.46933701752567,1.7212224055516852,0
"343",10,1,"Building",0,8.37005020056,42.075345186,0,10.20706814464163,40.27229286355023,2.5740304202494224,0
"344",10,1,"Building",2,9.57894968971,52.7095833994,2,11.39985256303942,54.21043721704939,2.3597138504598543,0
"345",10,1,"Building",0,9.78429905146,38.5406772351,0,6.722288821867451,37.931206958227186,3.1220763386760475,0
"346",10,1,"Building",2,20.5731416345,53.1617040758,2,24.594015710621413,54.43103454197266,4.216471056271976,0
"347",10,1,"Building",0,9.98072222358,32.5317407127,0,8.777872304684202,33.15824166048222,1.3562268855024402,0
"348",10,1,"Building",2,19.783332043,39.1103600297,2,27.326342811913776,36.58831129015172,7.953473537053243,0
"314",10,2,"Building",2,27.7512466929,52.9957577633,2,26.396204902570325,52.01429791037856,1.673141266132787,0
"315",10,2,"Building",0,28.235846582,35.5951202436,0,27.10855912003434,36.90589979049905,1.728849340594448,0
"316",10,2,"Building",2,27.7016405859,46.324726442,2,27.17367722531947,43.888617914868156,2.4926632476289226,0
"317",10,2,"Building",2,27.9021953829,39.1067143171,2,27.023308384017366,36.545523919023715,2.707792202515378,0
"318",10,2,"Building",0,31.3000519989,33.8670601127,0,27.89927461802853,35.32758315239888,3.701136898810722,0
"321",10,2,"Building",0,22.9716988027,27.5439314627,0,27.938096777562404,29.93214103130564,5.510776151169353,0
"322",10,2,"Building",2,27.9523336706,29.2320727314,2,25.168372068744812,34.51004058303671,5.967192542855876,0
"325",10,2,"Building",2,35.7238171017,27.0766943831,1,28.02979987676495,25.846630818760268,7.791723649483046,1
"327",10,2,"Building",0,24.307378019,22.9095886419,0,23.04587105688841,25.819620089939246,3.1717003080419506,0
"329",10,2,"Building",0,17.9825440131,22.7524923495,0,12.993536769784956,27.58527759171906,6.945934528287775,0
"333",10,2,"Building",2,7.73432111898,14.1968935699,2,14.865118356216525,14.005629589155568,7.133361840598742,0
"335",10,2,"Building",2,7.6494341693,19.4796789237,2,7.469608417128494,19.19289548536504,0.3384996922410272,0
"336",10,2,"Building",2,2.49255437632,17.1034864242,2,12.984829989503826,15.559284993702105,10.605300825576036,0
"338",10,2,"Building",0,9.15574435206,24.2449074932,0,8.625251014157437,24.18813625331366,0.5335224036882,0
"339",10,2,"Building",0,0.316690634106,31.6284370771,0,9.444583193727858,33.49764100328283,9.317314307119698,0
"340",10,2,"Building",2,0.0,41.6294754392,2,7.669838322243554,39.75113797184269,7.896491089758419,0
"341",10,2,"Building",2,7.8599899416,47.554094043,2,7.670557404178779,46.725885444258004,0.8495964743712281,0
"342",10,2,"Building",2,7.3718902781,52.0094549567,2,9.298931932510076,51.81348818773035,1.9369802560614613,0
"343",10,2,"Building",0,8.37005020056,42.075345186,0,9.133593550987099,42.04107417215808,0.7643120765572089,0
