major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,190,-53.9287652928,318,0,31.3000519989,33.8670601127,0,27.7450070104,37.6772194926,1,4.04690929722e-06,3
101,132,-55.9221202018,318,0,31.3000519989,33.8670601127,0,28.0535479633,32.9778441801,9,2.5573371042e-06,3
101,118,-57.5003655855,318,0,31.3000519989,33.8670601127,0,26.1194933615,37.0533749589,19,1.77812972223e-06,3
101,128,-58.6535412757,318,0,31.3000519989,33.8670601127,0,26.2308298789,29.7590456408,2,1.36347089694e-06,3
101,188,-60.7266229825,318,0,31.3000519989,33.8670601127,0,27.822657033,26.8867671999,3,8.45936378628e-07,7
101,141,-65.7603226658,318,0,31.3000519989,33.8670601127,0,22.392288987,35.1902750515,20,2.65440834125e-07,7
101,180,-68.827505553,318,0,31.3000519989,33.8670601127,0,27.1626309726,22.5783486241,4,1.30993409072e-07,7
101,143,-80.1914025124,318,0,31.3000519989,33.8670601127,0,18.2699028907,24.7526442618,6,9.56885004557e-09,15
101,205,-80.5116432752,318,0,31.3000519989,33.8670601127,1,26.0969946416,37.018767846,39,8.88864727284e-09,15
101,179,-82.5915996274,318,0,31.3000519989,33.8670601127,0,13.2226465783,22.6178422904,7,5.50604855963e-09,15
101,160,-82.6506456126,318,0,31.3000519989,33.8670601127,1,27.8590484144,28.7765687751,24,5.43169579103e-09,15
101,139,-89.3156722629,318,0,31.3000519989,33.8670601127,0,7.71642155667,30.416081979,14,1.17066537603e-09,15
101,156,-89.6449914879,318,0,31.3000519989,33.8670601127,2,24.3411640007,31.8285761878,56,1.08517767656e-09,15
101,186,-90.6258495876,318,0,31.3000519989,33.8670601127,0,8.22114748052,26.6898825301,11,8.65794935852e-10,15
101,197,-93.2459513323,318,0,31.3000519989,33.8670601127,0,9.02954197705,21.6862928396,8,4.73592555249e-10,15
101,125,-95.0,318,0,31.3000519989,33.8670601127,1,28.0346166835,43.2672430536,23,3.16227766017e-10,15
101,181,-95.0,318,0,31.3000519989,33.8670601127,2,25.9957380122,37.1919604126,58,3.16227766017e-10,15
101,195,-95.3271576523,318,0,31.3000519989,33.8670601127,2,28.2514109496,43.2173130662,42,2.93281206871e-10,15
101,146,-96.5548953255,318,0,31.3000519989,33.8670601127,0,9.42472360737,32.3956255105,15,2.21060153598e-10,15
