major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,202,-54.5926602688,341,2,7.8599899416,47.554094043,2,7.59427545994,50.3348724107,53,3.47323343517e-06,3
101,155,-64.6356959079,341,2,7.8599899416,47.554094043,2,7.74469114617,43.1168603772,52,3.43898601092e-07,7
101,175,-67.7061541927,341,2,7.8599899416,47.554094043,2,11.0037002414,53.292252411,54,1.69583885167e-07,7
101,115,-68.2498260009,341,2,7.8599899416,47.554094043,2,7.59493346216,36.386477457,51,1.49629560363e-07,7
101,119,-69.3173519154,341,2,7.8599899416,47.554094043,2,9.60041468039,37.2922101962,59,1.17021270372e-07,7
101,121,-70.3626490712,341,2,7.8599899416,47.554094043,1,7.34823813414,47.4912410236,33,9.19888295243e-08,15
101,191,-72.3634199344,341,2,7.8599899416,47.554094043,2,18.0732435291,50.3849976226,55,5.80307263567e-08,15
101,126,-74.0354234265,341,2,7.8599899416,47.554094043,2,11.1045730971,31.92882652,57,3.94873198298e-08,15
101,183,-75.9601182512,341,2,7.8599899416,47.554094043,1,7.455050292,42.9744854671,32,2.53505960408e-08,15
101,168,-77.1754913939,341,2,7.8599899416,47.554094043,1,9.71041452799,37.0909813036,31,1.91624423198e-08,15
101,194,-82.8203505659,341,2,7.8599899416,47.554094043,2,7.54479435145,22.7524548591,50,5.22354022478e-09,15
101,193,-83.3791292267,341,2,7.8599899416,47.554094043,1,10.3077574646,65.330325374,35,4.59290092634e-09,15
101,187,-83.7976948681,341,2,7.8599899416,47.554094043,1,11.3297194926,60.0105103876,38,4.17090706568e-09,15
101,122,-84.0,341,2,7.8599899416,47.554094043,1,6.08068802502,33.1099279758,30,3.98107170553e-09,15
101,158,-84.1432269561,341,2,7.8599899416,47.554094043,1,7.27711189817,59.4115905683,34,3.85192040488e-09,15
101,166,-86.5283834769,341,2,7.8599899416,47.554094043,2,24.4408774887,53.4428297631,40,2.22413760107e-09,15
101,140,-88.5505476202,341,2,7.8599899416,47.554094043,2,7.39437866522,15.6346930664,49,1.39619229818e-09,15
101,147,-89.9425620924,341,2,7.8599899416,47.554094043,2,11.1547738384,12.5269376135,48,1.01331341163e-09,15
101,161,-90.8858739287,341,2,7.8599899416,47.554094043,1,8.01889153388,26.7331959193,29,8.1547867224e-10,15
101,195,-91.1624103111,341,2,7.8599899416,47.554094043,2,28.2514109496,43.2173130662,42,7.65171822784e-10,15
101,182,-92.2459513323,341,2,7.8599899416,47.554094043,1,27.9288969593,51.3350420929,22,5.96217702639e-10,15
101,174,-93.0,341,2,7.8599899416,47.554094043,1,12.5296199144,15.9174132844,27,5.01187233627e-10,15
101,145,-93.9235837027,341,2,7.8599899416,47.554094043,2,28.0508562441,35.899050609,43,4.05174056733e-10,15
101,170,-95.3619444791,341,2,7.8599899416,47.554094043,2,28.3516883481,50.5857000951,41,2.90941418605e-10,15
101,156,-96.0,341,2,7.8599899416,47.554094043,2,24.3411640007,31.8285761878,56,2.51188643151e-10,15
101,138,-98.0,341,2,7.8599899416,47.554094043,2,18.5752876093,15.4843176138,47,1.58489319246e-10,15
101,178,-98.0,341,2,7.8599899416,47.554094043,1,24.0513826947,59.7991270833,37,1.58489319246e-10,15
