testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test42325,2019-03-08 14:51:21,10,1,1,8,3,31,2,28.050317,18.599851,31.0,2,29.20195677571676,18.551885747405127,True,0,1.1526382079687618
Test70038,2019-03-08 14:51:41,10,1,1,8,3,31,2,28.050317,18.599851,31.0,2,29.108419720698603,22.608652310318384,True,0,4.1460908471909015
Test83470,2019-03-08 14:52:03,10,1,1,8,3,31,2,28.050317,18.599851,31.0,2,29.064582208357766,17.87261466566017,True,0,1.24804110463921
Test47600,2019-03-08 14:52:42,10,1,1,8,3,31,2,27.56847,30.461422999999996,31.0,2,23.8235262639795,32.27678675965059,True,0,4.161748330427002
Test42000,2019-03-08 14:53:06,10,1,1,8,3,31,2,27.56847,30.461422999999996,31.0,2,18.75651805758472,32.21884008121946,True,0,8.985488959027125
Test8381,2019-03-08 14:53:29,10,1,1,8,3,31,2,27.56847,30.461422999999996,31.0,2,18.805930145748643,31.979655056197984,True,0,8.893094696100485
Test69867,2019-03-08 14:57:06,10,1,1,8,3,31,2,28.050317,46.169995,31.0,2,29.416995057826806,42.416998749788206,True,0,3.9940943614102355
Test10056,2019-03-08 14:57:27,10,1,1,8,3,31,2,28.050317,46.169995,31.0,2,27.431379010922612,43.23078631804053,True,0,3.003669740572204
Test97719,2019-03-08 14:57:49,10,1,1,8,3,31,2,28.050317,46.169995,31.0,2,28.429984857831943,49.68289474149919,True,0,3.533357083015496
Test95814,2019-03-08 14:59:13,10,1,1,8,3,31,2,9.900766,47.772912,31.0,2,9.213756156467387,48.0476569829491,True,0,0.7399103531958512
Test6393,2019-03-08 14:59:39,10,1,1,8,3,31,2,9.900766,47.772912,31.0,2,8.964339159260396,38.25026229336791,True,0,9.568581538727553
Test94058,2019-03-08 15:00:02,10,1,1,8,3,31,2,9.900766,47.772912,31.0,2,8.906259608680195,50.61752709004148,True,0,3.013449513907216
Test96169,2019-03-08 15:00:27,10,1,1,8,3,31,2,9.900766,47.772912,31.0,2,8.310677615603968,42.982432337977386,True,0,5.047482190403793
Test94220,2019-04-03 22:07:56,10,1,1,8,3,31,2,9.542354,29.806902,31.0,1,8.09550284720745,24.830299837829152,True,1,5.182658327428183
Test6864,2019-04-03 22:08:24,10,1,1,8,3,31,2,9.542354,29.806902,31.0,2,8.054780701751929,19.454743079162302,True,0,10.458492656207213
