major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,146,-55.7098865357,347,0,9.98072222358,32.5317407127,0,9.42472360737,32.3956255105,15,2.68541460423e-06,3
101,139,-56.2689335067,347,0,9.98072222358,32.5317407127,0,7.71642155667,30.416081979,14,2.36105796498e-06,3
101,186,-62.9257519392,347,0,9.98072222358,32.5317407127,0,8.22114748052,26.6898825301,11,5.0982931788e-07,7
101,149,-63.2719728357,347,0,9.98072222358,32.5317407127,0,9.58002374392,41.0512763804,16,4.70763427788e-07,7
101,196,-63.6692014026,347,0,9.98072222358,32.5317407127,0,7.67759649968,37.6355936285,17,4.29615418835e-07,7
101,197,-69.8277989596,347,0,9.98072222358,32.5317407127,0,9.02954197705,21.6862928396,8,1.04044733956e-07,7
101,184,-72.3226662296,347,0,9.98072222358,32.5317407127,0,8.68704761585,43.0308200034,18,5.85778431808e-08,15
101,179,-77.3372529107,347,0,9.98072222358,32.5317407127,0,13.2226465783,22.6178422904,7,1.8461828357e-08,15
101,168,-83.8682682003,347,0,9.98072222358,32.5317407127,1,9.71041452799,37.0909813036,31,4.10367709258e-09,15
101,143,-84.4323989489,347,0,9.98072222358,32.5317407127,0,18.2699028907,24.7526442618,6,3.6037952217e-09,15
101,176,-86.9200456382,347,0,9.98072222358,32.5317407127,0,7.40582137501,13.2212238634,10,2.03233565384e-09,15
101,126,-88.8866026359,347,0,9.98072222358,32.5317407127,2,11.1045730971,31.92882652,57,1.29222975346e-09,15
101,188,-89.1885134247,347,0,9.98072222358,32.5317407127,0,27.822657033,26.8867671999,3,1.2054484907e-09,15
101,122,-89.7116229916,347,0,9.98072222358,32.5317407127,1,6.08068802502,33.1099279758,30,1.06865543991e-09,15
101,161,-91.1549923952,347,0,9.98072222358,32.5317407127,1,8.01889153388,26.7331959193,29,7.66479882318e-10,15
101,180,-91.4375085775,347,0,9.98072222358,32.5317407127,0,27.1626309726,22.5783486241,4,7.18206187341e-10,15
101,119,-91.4881697233,347,0,9.98072222358,32.5317407127,2,9.60041468039,37.2922101962,59,7.09876873151e-10,15
101,183,-92.5548953255,347,0,9.98072222358,32.5317407127,1,7.455050292,42.9744854671,32,5.55278000371e-10,15
101,174,-92.7004391193,347,0,9.98072222358,32.5317407127,1,12.5296199144,15.9174132844,27,5.36977499313e-10,15
101,118,-93.4712810462,347,0,9.98072222358,32.5317407127,0,26.1194933615,37.0533749589,19,4.4964720209e-10,15
101,128,-93.5529391672,347,0,9.98072222358,32.5317407127,0,26.2308298789,29.7590456408,2,4.41271707592e-10,15
101,132,-94.1624103111,347,0,9.98072222358,32.5317407127,0,28.0535479633,32.9778441801,9,3.83494349111e-10,15
101,115,-94.8858739287,347,0,9.98072222358,32.5317407127,2,7.59493346216,36.386477457,51,3.24647906852e-10,15
101,121,-94.8858739287,347,0,9.98072222358,32.5317407127,1,7.34823813414,47.4912410236,33,3.24647906852e-10,15
101,141,-95.4712810462,347,0,9.98072222358,32.5317407127,0,22.392288987,35.1902750515,20,2.83708204584e-10,15
101,144,-99.0,347,0,9.98072222358,32.5317407127,1,12.4591398849,24.5489010436,28,1.25892541179e-10,15
