major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,166,-60.878836141,346,2,20.5731416345,53.1617040758,2,24.4408774887,53.4428297631,40,8.16801235321e-07,7
101,170,-68.0145462229,346,2,20.5731416345,53.1617040758,2,28.3516883481,50.5857000951,41,1.57959364461e-07,7
101,175,-69.9290792379,346,2,20.5731416345,53.1617040758,2,11.0037002414,53.292252411,54,1.01646417395e-07,7
101,191,-72.8821603087,346,2,20.5731416345,53.1617040758,2,18.0732435291,50.3849976226,55,5.1497241841e-08,15
101,195,-76.8467679726,346,2,20.5731416345,53.1617040758,2,28.2514109496,43.2173130662,42,2.06691778755e-08,15
101,202,-77.248817182,346,2,20.5731416345,53.1617040758,2,7.59427545994,50.3348724107,53,1.88416217856e-08,15
101,182,-80.1839152676,346,2,20.5731416345,53.1617040758,1,27.9288969593,51.3350420929,22,9.58536098887e-09,15
101,145,-81.2582637852,346,2,20.5731416345,53.1617040758,2,28.0508562441,35.899050609,43,7.4846866219e-09,15
101,181,-81.7020839954,346,2,20.5731416345,53.1617040758,2,25.9957380122,37.1919604126,58,6.75758629617e-09,15
101,187,-83.5442807073,346,2,20.5731416345,53.1617040758,1,11.3297194926,60.0105103876,38,4.42152341528e-09,15
101,178,-83.9120771549,346,2,20.5731416345,53.1617040758,1,24.0513826947,59.7991270833,37,4.06248980874e-09,15
101,158,-84.0,346,2,20.5731416345,53.1617040758,1,7.27711189817,59.4115905683,34,3.98107170553e-09,15
101,125,-86.0581734019,346,2,20.5731416345,53.1617040758,1,28.0346166835,43.2672430536,23,2.47846425514e-09,15
101,192,-86.494055932,346,2,20.5731416345,53.1617040758,1,27.7174560478,59.1562272772,21,2.24178731185e-09,15
101,163,-86.816989476,346,2,20.5731416345,53.1617040758,2,28.2012726619,22.9166535704,44,2.08113883008e-09,15
101,116,-87.3235489085,346,2,20.5731416345,53.1617040758,1,25.0733447227,65.330325374,36,1.85201759837e-09,15
101,121,-88.1225784747,346,2,20.5731416345,53.1617040758,1,7.34823813414,47.4912410236,33,1.54078539278e-09,15
101,155,-89.1669107266,346,2,20.5731416345,53.1617040758,2,7.74469114617,43.1168603772,52,1.21145957648e-09,15
101,156,-89.4171277419,346,2,20.5731416345,53.1617040758,2,24.3411640007,31.8285761878,56,1.14363444095e-09,15
101,205,-90.0602793549,346,2,20.5731416345,53.1617040758,1,26.0969946416,37.018767846,39,9.86216046391e-10,15
101,115,-92.0,346,2,20.5731416345,53.1617040758,2,7.59493346216,36.386477457,51,6.3095734448e-10,15
101,119,-93.2129022089,346,2,20.5731416345,53.1617040758,2,9.60041468039,37.2922101962,59,4.77210267364e-10,15
101,160,-94.1766714663,346,2,20.5731416345,53.1617040758,1,27.8590484144,28.7765687751,24,3.82237113998e-10,15
101,148,-94.6825058264,346,2,20.5731416345,53.1617040758,2,28.2520373136,15.4843176138,45,3.40211834966e-10,15
101,193,-94.816989476,346,2,20.5731416345,53.1617040758,1,10.3077574646,65.330325374,35,3.29838276437e-10,15
101,126,-95.0,346,2,20.5731416345,53.1617040758,2,11.1045730971,31.92882652,57,3.16227766017e-10,15
101,183,-96.3571549749,346,2,20.5731416345,53.1617040758,1,7.455050292,42.9744854671,32,2.31357989978e-10,15
