major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,181,-55.8785128347,316,2,27.7016405859,46.324726442,2,25.9957380122,37.1919604126,58,2.58314459179e-06,3
101,170,-59.2375830388,316,2,27.7016405859,46.324726442,2,28.3516883481,50.5857000951,41,1.19190514955e-06,3
101,195,-63.4029022514,316,2,27.7016405859,46.324726442,2,28.2514109496,43.2173130662,42,4.56782834206e-07,7
101,182,-67.159992176,316,2,27.7016405859,46.324726442,1,27.9288969593,51.3350420929,22,1.92309519343e-07,7
101,156,-69.5926661008,316,2,27.7016405859,46.324726442,2,24.3411640007,31.8285761878,56,1.09833137515e-07,7
101,166,-71.4421651161,316,2,27.7016405859,46.324726442,2,24.4408774887,53.4428297631,40,7.17436533876e-08,15
101,145,-72.8213070847,316,2,27.7016405859,46.324726442,2,28.0508562441,35.899050609,43,5.22238988441e-08,15
101,163,-76.4019376294,316,2,27.7016405859,46.324726442,2,28.2012726619,22.9166535704,44,2.28984579717e-08,15
101,148,-76.4429959523,316,2,27.7016405859,46.324726442,2,28.2520373136,15.4843176138,45,2.26829954032e-08,15
101,191,-78.0478793609,316,2,27.7016405859,46.324726442,2,18.0732435291,50.3849976226,55,1.56751629393e-08,15
101,205,-78.2372417907,316,2,27.7016405859,46.324726442,1,26.0969946416,37.018767846,39,1.50063758958e-08,15
101,160,-79.6615795449,316,2,27.7016405859,46.324726442,1,27.8590484144,28.7765687751,24,1.08104070133e-08,15
101,125,-80.320954322,316,2,27.7016405859,46.324726442,1,28.0346166835,43.2672430536,23,9.28762277416e-09,15
101,192,-83.0268355397,316,2,27.7016405859,46.324726442,1,27.7174560478,59.1562272772,21,4.98099890235e-09,15
101,167,-84.1722663284,316,2,27.7016405859,46.324726442,1,23.1016394277,24.4784397593,25,3.8262502163e-09,15
101,116,-88.2786989449,316,2,27.7016405859,46.324726442,1,25.0733447227,65.330325374,36,1.48638086411e-09,15
101,152,-89.4712810462,316,2,27.7016405859,46.324726442,2,24.5919195389,12.6271879458,46,1.1294627059e-09,15
101,178,-91.4712810462,316,2,27.7016405859,46.324726442,1,24.0513826947,59.7991270833,37,7.12642789602e-10,15
101,126,-91.5384286962,316,2,27.7016405859,46.324726442,2,11.1045730971,31.92882652,57,7.01709135125e-10,15
101,202,-91.816989476,316,2,27.7016405859,46.324726442,2,7.59427545994,50.3348724107,53,6.58113883008e-10,15
101,155,-92.4302557897,316,2,27.7016405859,46.324726442,2,7.74469114617,43.1168603772,52,5.71444978857e-10,15
101,138,-93.1553919069,316,2,27.7016405859,46.324726442,2,18.5752876093,15.4843176138,47,4.83571624883e-10,15
101,187,-93.6671624788,316,2,27.7016405859,46.324726442,1,11.3297194926,60.0105103876,38,4.2981716185e-10,15
101,175,-93.7727517567,316,2,27.7016405859,46.324726442,2,11.0037002414,53.292252411,54,4.19493102477e-10,15
101,115,-93.815544057,316,2,27.7016405859,46.324726442,2,7.59493346216,36.386477457,51,4.15380011767e-10,15
101,190,-95.0,316,2,27.7016405859,46.324726442,0,27.7450070104,37.6772194926,1,3.16227766017e-10,15
101,183,-95.2459513323,316,2,27.7016405859,46.324726442,1,7.455050292,42.9744854671,32,2.98816701025e-10,15
101,119,-95.6427989476,316,2,27.7016405859,46.324726442,2,9.60041468039,37.2922101962,59,2.72721957373e-10,15
