major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,138,-63.389259835,336,2,2.49255437632,17.1034864242,2,18.5752876093,15.4843176138,47,4.58219974166e-07,7
101,140,-67.1505885204,336,2,2.49255437632,17.1034864242,2,7.39437866522,15.6346930664,49,1.92726372845e-07,7
101,174,-67.4547387828,336,2,2.49255437632,17.1034864242,1,12.5296199144,15.9174132844,27,1.79690915647e-07,7
101,194,-69.9001716964,336,2,2.49255437632,17.1034864242,2,7.54479435145,22.7524548591,50,1.02325253764e-07,7
101,144,-74.0797627346,336,2,2.49255437632,17.1034864242,1,12.4591398849,24.5489010436,28,3.90862248941e-08,15
101,147,-74.3805669248,336,2,2.49255437632,17.1034864242,2,11.1547738384,12.5269376135,48,3.64706335324e-08,15
101,197,-78.553206502,336,2,2.49255437632,17.1034864242,0,9.02954197705,21.6862928396,8,1.39533776875e-08,15
101,148,-80.5884002692,336,2,2.49255437632,17.1034864242,2,28.2520373136,15.4843176138,45,8.73292988047e-09,15
101,161,-83.6571329391,336,2,2.49255437632,17.1034864242,1,8.01889153388,26.7331959193,29,4.30810922998e-09,15
101,115,-83.669150325,336,2,2.49255437632,17.1034864242,2,7.59493346216,36.386477457,51,4.29620471597e-09,15
101,152,-85.0282843771,336,2,2.49255437632,17.1034864242,2,24.5919195389,12.6271879458,46,3.14174955539e-09,15
101,122,-87.2738299361,336,2,2.49255437632,17.1034864242,1,6.08068802502,33.1099279758,30,1.87334172548e-09,15
101,119,-88.3026507354,336,2,2.49255437632,17.1034864242,2,9.60041468039,37.2922101962,59,1.47820588332e-09,15
101,126,-88.4516985886,336,2,2.49255437632,17.1034864242,2,11.1045730971,31.92882652,57,1.42833520667e-09,15
101,155,-92.6910535077,336,2,2.49255437632,17.1034864242,2,7.74469114617,43.1168603772,52,5.38139225342e-10,15
101,167,-93.0,336,2,2.49255437632,17.1034864242,1,23.1016394277,24.4784397593,25,5.01187233627e-10,15
101,176,-93.224242146,336,2,2.49255437632,17.1034864242,0,7.40582137501,13.2212238634,10,4.75965840888e-10,15
101,168,-95.2202024601,336,2,2.49255437632,17.1034864242,1,9.71041452799,37.0909813036,31,3.00593616814e-10,15
101,202,-96.0,336,2,2.49255437632,17.1034864242,2,7.59427545994,50.3348724107,53,2.51188643151e-10,15
