major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,143,-58.9616237806,327,0,24.307378019,22.9095886419,0,18.2699028907,24.7526442618,6,1.27009913994e-06,3
101,188,-64.0736184106,327,0,24.307378019,22.9095886419,0,27.822657033,26.8867671999,3,3.91415625522e-07,7
101,139,-69.9441709082,327,0,24.307378019,22.9095886419,0,7.71642155667,30.416081979,14,1.01293810574e-07,7
101,186,-70.9539890627,327,0,24.307378019,22.9095886419,0,8.22114748052,26.6898825301,11,8.02788409731e-08,15
101,179,-71.9344183395,327,0,24.307378019,22.9095886419,0,13.2226465783,22.6178422904,7,6.40557567163e-08,15
101,180,-76.7557595587,327,0,24.307378019,22.9095886419,0,27.1626309726,22.5783486241,4,2.11068801503e-08,15
101,132,-77.6444484956,327,0,24.307378019,22.9095886419,0,28.0535479633,32.9778441801,9,1.72010576114e-08,15
101,118,-78.5788533125,327,0,24.307378019,22.9095886419,0,26.1194933615,37.0533749589,19,1.38712202868e-08,15
101,197,-78.6418559216,327,0,24.307378019,22.9095886419,0,9.02954197705,21.6862928396,8,1.36714446286e-08,15
101,190,-78.8801771289,327,0,24.307378019,22.9095886419,0,27.7450070104,37.6772194926,1,1.29414305817e-08,15
101,146,-80.6934082224,327,0,24.307378019,22.9095886419,0,9.42472360737,32.3956255105,15,8.5243088738e-09,15
101,128,-84.8759370599,327,0,24.307378019,22.9095886419,0,26.2308298789,29.7590456408,2,3.25391567479e-09,15
101,160,-88.0034224563,327,0,24.307378019,22.9095886419,1,27.8590484144,28.7765687751,24,1.58364470987e-09,15
101,141,-88.1350170109,327,0,24.307378019,22.9095886419,0,22.392288987,35.1902750515,20,1.53637877548e-09,15
101,201,-88.3197698181,327,0,24.307378019,22.9095886419,1,22.8197192182,15.8821826423,26,1.47239053903e-09,15
101,149,-88.5128869618,327,0,24.307378019,22.9095886419,0,9.58002374392,41.0512763804,16,1.40835228849e-09,15
101,196,-90.3619444791,327,0,24.307378019,22.9095886419,0,7.67759649968,37.6355936285,17,9.20037548474e-10,15
101,167,-91.9852896602,327,0,24.307378019,22.9095886419,1,23.1016394277,24.4784397593,25,6.33098134727e-10,15
101,205,-95.2276309521,327,0,24.307378019,22.9095886419,1,26.0969946416,37.018767846,39,3.00079898874e-10,15
101,156,-95.4747333609,327,0,24.307378019,22.9095886419,2,24.3411640007,31.8285761878,56,2.83482767497e-10,15
