testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test96786,2019-01-18 17:54:30,5,2,1,6,3,31,1,0.841197,33.400914,31.0,1,7.7041558337327345,28.43547348460136,True,0,8.470879733857192
Test23667,2019-01-18 18:25:25,5,2,1,6,3,31,1,15.864222,17.811294,31.0,1,16.617476095111197,20.655655034508566,True,0,2.942410818773005
Test30680,2019-01-24 02:07:07,5,2,1,6,3,31,1,15.6973,18.69581,31.0,1,16.381539366160457,14.818868240094089,True,0,3.936859271031417
Test5444,2019-01-24 02:09:21,5,2,1,6,3,31,1,12.859617,8.579143,31.0,1,9.487999851035372,11.978598163438571,True,0,4.787911612323428
Test11881,2019-01-24 02:11:14,5,2,1,6,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,13.639456624394258,11.421904296204952,True,0,14.470240879751442
Test12599,2019-01-24 02:13:35,5,2,1,6,3,31,1,28.717257,9.90592,31.0,1,24.91996196189755,9.03416066774563,True,0,3.896076736894447
Test57257,2019-01-24 02:15:23,5,2,1,6,3,31,1,27.548797999999998,34.119584,31.0,1,29.448545015036405,36.25787240867782,True,0,2.86029999122918
Test13177,2019-01-24 02:17:15,5,2,1,6,3,31,1,28.550332,53.800096999999994,31.0,1,21.116682487785113,52.18082202269454,True,0,7.607969277184301
Test52481,2019-01-24 02:18:42,5,2,1,6,3,31,1,24.210347,54.795178,31.0,1,28.302321257609556,54.41741099158086,True,0,4.109374798870168
Test68842,2019-01-24 02:19:49,5,2,1,6,3,31,1,18.534983,49.156381,31.0,1,20.311655291621022,51.63070193035826,True,0,3.0461169541274775
Test21017,2019-01-24 02:20:49,5,2,1,6,3,31,1,18.368059,56.287802,31.0,1,8.83939849458794,50.032191104728874,True,0,11.398598102417438
Test53151,2019-01-24 02:21:57,5,2,1,6,3,31,1,17.867292000000003,43.020041,31.0,1,8.83939849458794,50.032191104728874,True,0,11.431233976973372
Test66766,2019-01-24 02:23:24,5,2,1,6,3,31,1,10.355779,62.313577,31.0,1,11.603556865755378,57.91535397329105,True,0,4.571795642298759
Test70090,2019-01-24 02:24:55,5,2,1,6,3,31,1,9.0204,43.572864,31.0,1,8.035540034497608,47.251368371809775,True,0,3.8080629675824667
Test73394,2019-01-24 02:27:09,5,2,1,6,3,31,1,13.193462,30.636796999999998,31.0,1,10.49143158058042,29.74688457668218,True,0,2.8448044763470377
Test35814,2019-01-24 02:28:49,5,2,1,6,3,31,1,13.360384,38.708017,31.0,1,10.491431576470461,29.746884574174562,True,0,9.409186062654733
Test86088,2019-01-24 02:30:10,5,2,1,6,3,31,1,4.34657,33.732607,31.0,1,10.99947802093675,29.02066595131985,True,0,8.15251946218355
