testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test57831",3,3,1,"SB",1,12.859617,8.579143,1,12.35908310763683,9.863983639410767,1.3788943563905447,0
"Test48762",2,3,1,"SB",1,4.680414,8.579143,1,17.016236833224713,15.620176479775871,14.203826154808885,0
"Test62912",3,3,1,"SB",1,4.680414,8.579143,1,17.016236802887477,15.620176412249915,14.20382609498787,0
"Test43488",2,3,1,"SB",1,4.012724,0.618484,1,18.756476941914986,17.747773096078934,22.600681311617034,0
"Test82603",3,3,1,"SB",1,4.012724,0.618484,1,17.016236802887477,15.620176412249915,19.853012880835372,0
"Test11881",5,3,1,"SB",1,4.012724,0.618484,1,17.016236833224713,15.620176479775871,19.853012951731124,0
"Test50448",10,3,1,"SB",1,4.012724,0.618484,1,17.016236833224713,15.620176479775871,19.853012951731124,0
"Test56319",10,3,1,"SB",1,28.717257,9.90592,1,27.162041665009454,11.313507297457614,2.0976169188280744,0
"Test12599",5,3,1,"SB",1,28.717257,9.90592,1,21.843381155654917,16.46872157822057,9.503711573830785,0
"Test81912",3,3,1,"SB",1,28.717257,9.90592,1,27.162041676319305,11.313507276326705,2.0976168962630144,0
"Test62385",2,3,1,"SB",1,28.717257,9.90592,1,26.759029139678123,12.36171178795846,3.140950438759741,0
"Test94942",2,3,1,"SB",1,27.548798,34.119584,1,19.992734799995663,18.17677639138315,17.642766379676154,0
"Test12935",3,3,1,"SB",1,27.548798,34.119584,1,29.317200473822297,26.329932797613733,7.987860362090632,0
"Test57257",5,3,1,"SB",1,27.548798,34.119584,1,20.569332541396545,25.46025246956465,11.121913533283319,0
"Test8527",10,3,1,"SB",1,27.548798,34.119584,1,29.31720043845507,26.32993279730298,7.987860354563856,0
"Test13139",10,3,1,"SB",1,28.550332,53.800097,1,27.692791161709017,55.14576851816232,1.5956842181741613,0
"Test13177",5,3,1,"SB",1,28.550332,53.800097,1,19.827595881883322,52.41477943903247,8.832056959226556,0
"Test52854",3,3,1,"SB",1,28.550332,53.800097,1,27.714105583984356,37.763865253763825,16.058019904017907,0
"Test79360",2,3,1,"SB",1,28.550332,53.800097,1,29.51073215616405,40.5627620894455,13.272128841830344,0
"Test37077",2,3,1,"SB",1,24.210347,54.795178,1,27.71570864521138,55.13426091252381,3.5217236526003375,0
"Test13666",3,3,1,"SB",1,24.210347,54.795178,1,15.758357169344315,55.79443297389633,8.510854398963929,0
"Test52481",5,3,1,"SB",1,24.210347,54.795178,1,27.692791161709017,55.14576851816232,3.5000472926585657,0
"Test30022",10,3,1,"SB",1,24.210347,54.795178,1,27.692791173666425,55.14576851662943,3.500047304402289,0
"Test37479",10,3,1,"SB",1,18.534983,49.156381,1,20.229268205932758,45.46919323501239,4.057826508528544,0
"Test68842",5,3,1,"SB",1,18.534983,49.156381,1,16.264304234715986,51.74875212612536,3.4462109788404116,0
"Test53054",3,3,1,"SB",1,18.534983,49.156381,1,29.51073216831124,40.562762085796415,13.939776032929744,0
"Test67831",2,3,1,"SB",1,18.534983,49.156381,1,15.758357103360826,55.79443296680832,7.195372490978844,0
"Test7174",2,3,1,"SB",1,18.368059,56.287802,1,18.57091918113437,43.46885902077284,12.820548013161028,0
"Test17244",3,3,1,"SB",1,18.368059,56.287802,1,16.264304274500496,51.74875194817442,5.002875105180945,0
"Test21017",5,3,1,"SB",1,18.368059,56.287802,1,16.565713817380278,49.54050300438098,6.983873702580391,0
"Test87030",10,3,1,"SB",1,18.368059,56.287802,1,16.565713817380278,49.54050300438098,6.983873702580391,0
"Test6781",10,3,1,"SB",1,17.867292,43.020041,1,16.565713817380278,49.54050300438098,6.6490999778953315,0
"Test53151",5,3,1,"SB",1,17.867292,43.020041,1,16.565713817380278,49.54050300438098,6.6490999778953315,0
"Test39878",3,3,1,"SB",1,17.867292,43.020041,1,18.63349782449524,47.82694050612136,4.867581969257448,0
"Test30871",2,3,1,"SB",1,17.867292,43.020041,1,7.33792308252054,39.49741841687927,11.102994175603927,0
"Test27356",2,3,1,"SB",1,10.355779,62.313577,1,8.012165108742142,43.10022118726109,19.35576316393143,0
"Test57000",3,3,1,"SB",1,10.355779,62.313577,1,9.135032666207355,25.416025164658098,36.91774035681505,0
"Test66766",5,3,1,"SB",1,10.355779,62.313577,1,15.75835715104411,55.79443297000281,8.466822872954603,0
"Test23777",10,3,1,"SB",1,10.355779,62.313577,1,15.288809997451146,47.906188221504856,15.228514249148594,0
"Test86285",10,3,1,"SB",1,9.0204,43.572864,1,8.089916017380345,34.92693986724024,8.69584984641233,0
"Test70090",5,3,1,"SB",1,9.0204,43.572864,1,7.50759336440565,46.49381443877988,3.289458220209925,0
"Test3998",3,3,1,"SB",1,9.0204,43.572864,1,18.633437605976813,56.05661702656084,15.75609664993495,0
"Test18232",2,3,1,"SB",1,9.0204,43.572864,1,14.916814878482905,47.355019221415134,7.00516998637951,0
"Test96255",2,3,1,"SB",1,13.193462,30.636797,1,17.102907144182183,34.90892252564437,5.790925473724543,0
"Test70001",3,3,1,"SB",1,13.193462,30.636797,1,17.619921251644907,33.964222093501846,5.537625778195792,0
"Test73394",5,3,1,"SB",1,13.193462,30.636797,1,17.2573866845286,29.60878103196968,4.191932808627329,0
"Test18722",10,3,1,"SB",1,13.193462,30.636797,1,17.392741088547556,21.163134817190798,10.362635765938222,0
"Test78829",10,3,1,"SB",1,13.360384,38.708017,1,8.089916242165863,34.926939134263066,6.486476717998373,0
"Test35814",5,3,1,"SB",1,13.360384,38.708017,1,8.089916242165863,34.926939134263066,6.486476717998373,0
"Test79905",3,3,1,"SB",1,13.360384,38.708017,1,8.089916242165863,34.926939134263066,6.486476717998373,0
"Test81865",2,3,1,"SB",1,13.360384,38.708017,1,17.450377462821475,26.296948889804813,13.067618687497209,0
"Test77046",2,3,1,"SB",1,4.34657,33.732607,1,8.08991592333906,34.9269402162975,3.92925826757808,0
"Test12112",3,3,1,"SB",1,4.34657,33.732607,1,17.39274110113871,21.16313482155686,18.116131243862277,0
"Test86088",5,3,1,"SB",1,4.34657,33.732607,1,16.167717947061675,18.673032641412973,19.144981552567042,0
"Test60907",10,3,1,"SB",1,4.34657,33.732607,1,8.08991592333906,34.9269402162975,3.92925826757808,0
"Test6310",10,3,1,"SB",1,7.017329,22.344446,1,14.536283056668966,22.461848904542773,7.519870580554812,0
"Test15800",5,3,1,"SB",1,7.017329,22.344446,1,8.865209017435669,20.45413608805206,2.6434697127159756,0
"Test35577",3,3,1,"SB",1,7.017329,22.344446,1,9.156463020855824,25.407731240064944,3.736256257429693,0
"Test121",2,3,1,"SB",1,7.017329,22.344446,1,9.156463338138732,25.407730371491795,3.736255726958488,0
"Test61358",2,3,1,"SB",1,13.69423,19.690895,1,19.868868652819124,8.293218963223024,12.962761339012923,0
"Test77857",3,3,1,"SB",1,13.69423,19.690895,1,16.167718001730794,18.67303264309116,2.6747311401930136,0
"Test88279",5,3,1,"SB",1,13.69423,19.690895,1,17.577880967653062,20.140643672124895,3.909605952859019,0
"Test36167",10,3,1,"SB",1,13.69423,19.690895,1,17.577880848396553,20.140643711202856,3.909605838889632,0
"Test12418",10,3,2,"AM",1,3.594801226538799,56.88285995825111,1,11.320989181575651,63.10230957347024,9.918444123591454,0
"Test16545",10,3,2,"AM",1,4.308557968378728,49.750827094942125,1,4.574101019548181,44.74100061454491,5.016859024899298,0
"Test70565",5,3,2,"AM",1,4.308557968378728,49.51309274392676,1,6.435431315859907,38.427700962756106,11.28758172410157,0
"Test50294",5,3,2,"AM",1,7.877342455798169,41.19239045838931,1,12.472062912630632,31.142975320890965,11.049986456200552,0
"Test40075",10,3,2,"AM",1,7.639423541851525,40.716921756358595,1,9.66311082096291,38.668297778559065,2.8796128917013144,0
"Test79839",5,3,2,"AM",1,5.260234013275198,37.3886377316792,1,8.632321664449023,32.590551498582116,5.864521005797041,0
"Test84117",5,3,2,"AM",1,5.260234013275198,31.445280511527507,1,9.309800645269744,30.851807126372087,4.0928230557711,0
"Test8205",10,3,2,"AM",1,5.260234013275198,31.68301330731065,1,7.04652849126249,27.713971560023634,4.352486686228351,0
"Test70869",10,3,2,"AM",1,1.6914495258557574,62.58848554904381,1,6.737146033442346,64.1657406583799,5.286472068080783,0
"Test79992",10,3,2,"AM",1,1.2156115034075219,66.39223574850158,1,-0.032325460335380835,65.7030062240201,1.42561706039624,0
"Test37993",5,3,2,"AM",1,9.304855939478026,59.497938597036125,1,13.276904313624568,62.173671723386306,4.789229170754716,0
"Test34350",5,3,2,"AM",1,0.26393565306600075,11.951057507339483,1,6.268536344787007,18.21721753980416,8.678709064110521,0
