testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"FAKE_TEST",5,3,3,"Building",1,1234.0,1234.0,1,23.08175913522052,15.148737952940465,1718.115649498823,0
"FAKE_TEST_2",5,3,3,"SB",1,0.0,0.0,1,23.08175913522052,15.148737952940465,27.60890918423245,0
"FAKE_TEST_3",5,3,3,"SB",1,0.0,0.0,1,23.081758878516002,15.148738226704893,27.60890911983272,0
"Test37317",3,3,3,"SB",1,15.6973,18.69581,1,8.666817801119173,22.351913854476514,7.924315449519801,0
"Test30680",5,3,3,"SB",1,15.6973,18.69581,1,15.994952424385467,14.330123616045302,4.375821587860959,0
"Test3673",10,3,3,"SB",1,15.6973,18.69581,1,16.078580424268893,20.919575847964303,2.256215705224803,0
"Test97265",10,3,3,"SB",1,12.859617,8.579143,1,10.47691346066496,7.495648389096944,2.617486719778286,0
"Test5444",5,3,3,"SB",1,12.859617,8.579143,1,15.994952433989758,14.330123474107795,6.550122494824113,0
"Test57831",3,3,3,"SB",1,12.859617,8.579143,1,10.47691346066496,7.495648389096944,2.617486719778286,0
"Test48762",2,3,3,"SB",1,4.680414,8.579143,1,15.994952433989758,14.330123474107795,12.69222424903533,0
"Test62912",3,3,3,"SB",1,4.680414,8.579143,1,15.994952472921863,14.330123670713599,12.69222437282569,0
"Test43488",2,3,3,"SB",1,4.012724,0.618484,1,18.756035171806626,17.747388383419757,22.600101541476636,0
"Test82603",3,3,3,"SB",1,4.012724,0.618484,1,15.994952472921863,14.330123670713599,18.209416839558216,0
"Test11881",5,3,3,"SB",1,4.012724,0.618484,1,15.994952433989758,14.330123474107795,18.20941666589635,0
"Test50448",10,3,3,"SB",1,4.012724,0.618484,1,15.994952433989758,14.330123474107795,18.20941666589635,0
"Test56319",10,3,3,"SB",1,28.717257,9.90592,1,29.260088155549955,9.091745708045416,0.9785425085888952,0
"Test12599",5,3,3,"SB",1,28.717257,9.90592,1,23.08175908323646,15.148738297867789,7.697141058490711,0
"Test81912",3,3,3,"SB",1,28.717257,9.90592,1,29.260088161893847,9.09174570737634,0.9785425126647597,0
"Test62385",2,3,3,"SB",1,28.717257,9.90592,1,29.260044312575484,9.092149324441742,0.9781823853921416,0
"Test94942",2,3,3,"SB",1,27.548798,34.119584,1,19.990325624653543,18.17873439264669,17.642029102490785,0
"Test12935",3,3,3,"SB",1,27.548798,34.119584,1,29.383763908698217,27.177217804388665,7.180776300655224,0
"Test57257",5,3,3,"SB",1,27.548798,34.119584,1,23.124473031235546,26.64832248197753,8.682994880795224,0
"Test8527",10,3,3,"SB",1,27.548798,34.119584,1,29.383763872313573,27.17721779085374,7.180776304443092,0
"Test13139",10,3,3,"SB",1,28.550332,53.800097,1,28.313000794500137,54.19307750199664,0.45908580467440857,0
"Test13177",5,3,3,"SB",1,28.550332,53.800097,1,22.216557302291697,51.9015999641514,6.612185184676533,0
"Test52854",3,3,3,"SB",1,28.550332,53.800097,1,28.276238312118416,34.87606893290362,18.926012935480838,0
"Test79360",2,3,3,"SB",1,28.550332,53.800097,1,29.466409160355326,41.58620070990059,12.248202314994185,0
"Test37077",2,3,3,"SB",1,24.210347,54.795178,1,27.71567818281454,55.136051147099835,3.5218661535648583,0
"Test13666",3,3,3,"SB",1,24.210347,54.795178,1,13.857069087266266,56.60516802452418,10.510301015060282,0
"Test52481",5,3,3,"SB",1,24.210347,54.795178,1,28.313000794500137,54.19307750199664,4.14660019380001,0
"Test30022",10,3,3,"SB",1,24.210347,54.795178,1,28.31300081233402,54.193077462323906,4.146600217205504,0
"Test37479",10,3,3,"SB",1,18.534983,49.156381,1,22.261934683127215,46.99101849766962,4.310332193098726,0
"Test68842",5,3,3,"SB",1,18.534983,49.156381,1,15.007653201585635,51.82235165683916,4.4214765689653195,0
"Test53054",3,3,3,"SB",1,18.534983,49.156381,1,29.46640920454114,41.58620072168925,13.296755555828412,0
"Test67831",2,3,3,"SB",1,18.534983,49.156381,1,13.857068897472917,56.605168089277356,8.795868885562514,0
"Test7174",2,3,3,"SB",1,18.368059,56.287802,1,18.57094747311634,43.47179287249041,12.81761497662231,0
"Test17244",3,3,3,"SB",1,18.368059,56.287802,1,15.007653217624451,51.82235160295462,5.588611121799025,0
"Test21017",5,3,3,"SB",1,18.368059,56.287802,1,14.967407369326946,48.91524259604927,8.119055590275364,0
"Test87030",10,3,3,"SB",1,18.368059,56.287802,1,14.967407369326946,48.91524259604927,8.119055590275364,0
"Test6781",10,3,3,"SB",1,17.867292,43.020041,1,14.967407369326946,48.91524259604927,6.5698350610403935,0
"Test53151",5,3,3,"SB",1,17.867292,43.020041,1,14.967407369326946,48.91524259604927,6.5698350610403935,0
"Test39878",3,3,3,"SB",1,17.867292,43.020041,1,18.632357513742352,47.830046532803514,4.8704700456853525,0
"Test30871",2,3,3,"SB",1,17.867292,43.020041,1,7.757861138009453,43.34756801759658,10.114735107783229,0
"Test27356",2,3,3,"SB",1,10.355779,62.313577,1,7.919162102560977,43.18302267507512,19.28510333609305,0
"Test57000",3,3,3,"SB",1,10.355779,62.313577,1,8.825504078019822,25.746986260766413,36.59859696255371,0
"Test66766",5,3,3,"SB",1,10.355779,62.313577,1,13.857069287277875,56.60516788524731,6.696638581943779,0
"Test23777",10,3,3,"SB",1,10.355779,62.313577,1,14.01590758003183,50.95980887358852,11.92914883345342,0
"Test86285",10,3,3,"SB",1,9.0204,43.572864,1,7.758441525296706,34.30257829140329,9.355786247605696,0
"Test70090",5,3,3,"SB",1,9.0204,43.572864,1,7.593044215392126,45.43529943345215,2.3464889259554695,0
"Test3998",3,3,3,"SB",1,9.0204,43.572864,1,18.631606282414477,56.052207315182955,15.751485510304256,0
"Test18232",2,3,3,"SB",1,9.0204,43.572864,1,14.840520459415135,48.423798943032125,7.5766332881849765,0
"Test96255",2,3,3,"SB",1,13.193462,30.636797,1,14.842381010741319,35.12040576847669,4.777204359533424,0
"Test70001",3,3,3,"SB",1,13.193462,30.636797,1,15.086978860827085,31.76399344083026,2.2036283530706475,0
"Test73394",5,3,3,"SB",1,13.193462,30.636797,1,15.007564970290742,29.47322621735327,2.1551952470824576,0
"Test18722",10,3,3,"SB",1,13.193462,30.636797,1,14.923465434247442,22.881826380351733,7.945595081182768,0
