testid,building_id,t_floor,t_x,t_y,interval,bt_major,bt_minor,bt_floor,bt_x,bt_y,rssi
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,588,1,3.0613755224946493,60.484984604957916,-69,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,588,1,3.0613755224946493,60.484984604957916,-70,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,588,1,3.0613755224946493,60.484984604957916,-71,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,588,1,3.0613755224946493,60.484984604957916,-70,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,588,1,3.0613755224946493,60.484984604957916,-73,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,568,1,0.43708479215242596,38.00851285497156,-100,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,568,1,0.43708479215242596,38.00851285497156,-99,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,568,1,0.43708479215242596,38.00851285497156,-97,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,568,1,0.43708479215242596,38.00851285497156,-99,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,568,1,0.43708479215242596,38.00851285497156,-100,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,579,1,15.657972351110983,68.35175042702784,-89,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,579,1,15.657972351110983,68.35175042702784,-91,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,579,1,15.657972351110983,68.35175042702784,-92,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,579,1,15.657972351110983,68.35175042702784,-92,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-91,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-91,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-91,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-90,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-94,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,592,1,4.78590982289451,45.725435115368946,-96,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,567,1,4.111092087008469,68.50159355129132,-86,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,567,1,4.111092087008469,68.50159355129132,-95,
