testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"315",101,128,"Building",0,26.2308298789,29.7590456408,-77.1603498369,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,156,"Building",2,24.3411640007,31.8285761878,-85.4346394172,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,141,"Building",0,22.392288987,35.1902750515,-85.9491700671,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,143,"Building",0,18.2699028907,24.7526442618,-90.1898164183,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,160,"Building",1,27.8590484144,28.7765687751,-91.0155282301,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,149,"Building",0,9.58002374392,41.0512763804,-92.0,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,205,"Building",1,26.0969946416,37.018767846,-92.2863973207,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,167,"Building",1,23.1016394277,24.4784397593,-96.0,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,196,"Building",0,7.67759649968,37.6355936285,-96.815544057,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,125,"Building",1,28.0346166835,43.2672430536,-97.2292509378,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,197,"Building",0,9.02954197705,21.6862928396,-97.8105122229,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,139,"Building",0,7.71642155667,30.416081979,-100.0,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"316",101,181,"Building",2,25.9957380122,37.1919604126,-55.8785128347,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,170,"Building",2,28.3516883481,50.5857000951,-59.2375830388,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,195,"Building",2,28.2514109496,43.2173130662,-63.4029022514,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,182,"Building",1,27.9288969593,51.3350420929,-67.159992176,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,156,"Building",2,24.3411640007,31.8285761878,-69.5926661008,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,166,"Building",2,24.4408774887,53.4428297631,-71.4421651161,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,145,"Building",2,28.0508562441,35.899050609,-72.8213070847,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,163,"Building",2,28.2012726619,22.9166535704,-76.4019376294,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,148,"Building",2,28.2520373136,15.4843176138,-76.4429959523,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,191,"Building",2,18.0732435291,50.3849976226,-78.0478793609,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,205,"Building",1,26.0969946416,37.018767846,-78.2372417907,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,160,"Building",1,27.8590484144,28.7765687751,-79.6615795449,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,125,"Building",1,28.0346166835,43.2672430536,-80.320954322,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,192,"Building",1,27.7174560478,59.1562272772,-83.0268355397,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,167,"Building",1,23.1016394277,24.4784397593,-84.1722663284,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,116,"Building",1,25.0733447227,65.330325374,-88.2786989449,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,152,"Building",2,24.5919195389,12.6271879458,-89.4712810462,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,178,"Building",1,24.0513826947,59.7991270833,-91.4712810462,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,126,"Building",2,11.1045730971,31.92882652,-91.5384286962,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,202,"Building",2,7.59427545994,50.3348724107,-91.816989476,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,155,"Building",2,7.74469114617,43.1168603772,-92.4302557897,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,138,"Building",2,18.5752876093,15.4843176138,-93.1553919069,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,187,"Building",1,11.3297194926,60.0105103876,-93.6671624788,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,175,"Building",2,11.0037002414,53.292252411,-93.7727517567,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,115,"Building",2,7.59493346216,36.386477457,-93.815544057,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,190,"Building",0,27.7450070104,37.6772194926,-95.0,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
