testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",10,3,"AM",1,3.594801226538799,56.88285995825111,1,12.511448514162426,63.05869307268919,10.846543850889818,0
"Test16545",10,3,"AM",1,4.308557968378728,49.750827094942125,1,7.903314656655043,39.03082624188937,11.306665907214162,0
"Test70565",5,3,"AM",1,4.308557968378728,49.51309274392676,1,6.658794198788213,34.08430782762657,15.6067618144246,0
"Test50294",5,3,"AM",1,7.877342455798169,41.19239045838931,1,7.305241762399525,34.03053717082323,7.184667126318957,0
"Test40075",10,3,"AM",1,7.639423541851525,40.716921756358595,1,7.481818512568027,36.31743188607993,4.402311945323733,0
"Test79839",5,3,"AM",1,5.260234013275198,37.3886377316792,1,7.827969586169615,31.840275649775595,6.113721269751597,0
"Test84117",5,3,"AM",1,5.260234013275198,31.445280511527507,1,9.422975878092629,31.38109454737718,4.163236682089742,0
"Test8205",10,3,"AM",1,5.260234013275198,31.68301330731065,1,9.422975873835025,31.38109454702899,4.17367640521724,0
"Test70869",10,3,"AM",1,1.6914495258557574,62.58848554904381,1,10.993053252511983,61.61259579062674,9.352656986564208,0
"Test79992",10,3,"AM",1,1.2156115034075219,66.39223574850158,1,4.1066156331112555,59.50159466454914,7.4725390213646445,0
"Test37993",5,3,"AM",1,9.304855939478026,59.497938597036125,1,12.985640685724379,59.918927475579466,3.7047817727980967,0
"Test34350",5,3,"AM",1,0.26393565306600075,11.951057507339483,1,7.827079484979593,12.399533585457267,7.57642893551154,0
"Test66732",5,3,"AM",1,6.687747886064955,9.335978090938358,1,7.827079484979593,12.399533585457267,3.2685545368377102,0
"Test67062",5,3,"AM",1,6.449828972118311,15.517074327802032,1,13.24039708681954,11.830904195210287,7.726555867060591,0
"Test92679",5,3,"AM",1,14.06323499663068,9.573717107650348,1,11.303290368207586,11.250029375381974,3.2291356693253133,0
"Test85276",5,3,"AM",1,16.44242569253671,14.328404127957462,1,14.683211971323926,32.24080485918832,17.9985814127976,0
"Test44416",5,3,"AM",1,12.635721512950822,13.37746672389604,1,20.732705834170122,16.137464264788782,8.554457406744461,0
"Test96786",5,3,"SB",1,0.841197,33.400914,1,14.122357075903453,35.41401944076547,13.432862929301832,0
"Test23667",5,3,"SB",1,15.864222,17.811294,1,17.64023290560068,20.059223676657204,2.8648564655159796,0
"Test54312",5,3,"AM",1,3.441853,57.477196,1,6.658794198788213,34.08430782762657,23.613045710404023,0
"Test67455",5,3,"AM",1,3.936385,57.477196,1,8.896897422647578,74.29210949123461,17.531343337375624,0
"FAKE_TEST",5,3,"Building",1,1234.0,1234.0,1,21.65049138880962,16.637547595124623,1718.0694606316144,0
"FAKE_TEST_2",5,3,"SB",1,0.0,0.0,1,21.65049138880962,16.637547595124623,27.304793853039005,0
"FAKE_TEST_3",5,3,"SB",1,0.0,0.0,1,21.65049138877976,16.637547629376915,27.304793873886172,0
"Test37317",3,3,"SB",1,15.6973,18.69581,1,8.87271968586644,19.356536361540453,6.856490048770859,0
"Test30680",5,3,"SB",1,15.6973,18.69581,1,17.199327232364265,15.842635280876282,3.2243901415012686,0
"Test3673",10,3,"SB",1,15.6973,18.69581,1,17.640232856652368,20.0592236309596,2.3735805894356665,0
"Test97265",10,3,"SB",1,12.859617,8.579143,1,14.625430270719008,12.670317398999634,4.455985241231996,0
"Test5444",5,3,"SB",1,12.859617,8.579143,1,17.199327236707852,15.842635253400124,8.461170406852146,0
"Test57831",3,3,"SB",1,12.859617,8.579143,1,14.625430270719008,12.670317398999634,4.455985241231996,0
"Test48762",2,3,"SB",1,4.680414,8.579143,1,17.199327236707852,15.842635253400124,14.473476028356929,0
"Test62912",3,3,"SB",1,4.680414,8.579143,1,17.199327245385174,15.842635284746112,14.473476051593364,0
"Test43488",2,3,"SB",1,4.012724,0.618484,1,18.756954793752076,17.74848521071116,22.6015327617043,0
"Test82603",3,3,"SB",1,4.012724,0.618484,1,17.199327245385174,15.842635284746112,20.14103491611192,0
"Test11881",5,3,"SB",1,4.012724,0.618484,1,17.199327236707852,15.842635253400124,20.14103488673704,0
"Test50448",10,3,"SB",1,4.012724,0.618484,1,17.199327236707852,15.842635253400124,20.14103488673704,0
"Test56319",10,3,"SB",1,28.717257,9.90592,1,24.583053789735956,13.831176075372861,5.700813226287025,0
"Test12599",5,3,"SB",1,28.717257,9.90592,1,21.650491412878015,16.637547616222086,9.759814866421156,0
"Test81912",3,3,"SB",1,28.717257,9.90592,1,24.583053773310326,13.831176033714463,5.700813209515211,0
"Test62385",2,3,"SB",1,28.717257,9.90592,1,24.339635675848232,16.19930483652094,7.666176436674283,0
"Test94942",2,3,"SB",1,27.548798,34.119584,1,19.99218553024538,18.177343700190654,17.642488990925184,0
"Test12935",3,3,"SB",1,27.548798,34.119584,1,27.57773159608156,24.424971317294588,9.694655858804628,0
"Test57257",5,3,"SB",1,27.548798,34.119584,1,20.408639887989132,25.574073913005357,11.135869993468937,0
"Test8527",10,3,"SB",1,27.548798,34.119584,1,27.577731245605094,24.424971427085453,9.694655747968266,0
"Test13139",10,3,"SB",1,28.550332,53.800097,1,23.806433277061867,55.38753105321298,5.002451595647303,0
"Test13177",5,3,"SB",1,28.550332,53.800097,1,19.46823719132577,52.20353695955988,9.221358363954716,0
"Test52854",3,3,"SB",1,28.550332,53.800097,1,27.672603528218442,37.8175926171356,16.006587819346624,0
"Test79360",2,3,"SB",1,28.550332,53.800097,1,25.48351589309776,39.300969995921896,14.81992054344226,0
"Test37077",2,3,"SB",1,24.210347,54.795178,1,27.714298896320862,55.134453403846514,3.5203390023385235,0
"Test13666",3,3,"SB",1,24.210347,54.795178,1,16.28948071005707,55.42145484108224,7.94558654001265,0
"Test52481",5,3,"SB",1,24.210347,54.795178,1,23.806433277061867,55.38753105321298,0.7169577639083654,0
"Test30022",10,3,"SB",1,24.210347,54.795178,1,23.806433292919706,55.38753105337177,0.7169577551056961,0
"Test37479",10,3,"SB",1,18.534983,49.156381,1,20.406344999256394,45.60772385475321,4.011852847098457,0
"Test68842",5,3,"SB",1,18.534983,49.156381,1,16.343062913706547,51.72750107487618,3.378634650880142,0
"Test53054",3,3,"SB",1,18.534983,49.156381,1,25.48351590109566,39.30096998853612,12.05865812113821,0
"Test67831",2,3,"SB",1,18.534983,49.156381,1,16.289480710031416,55.42145484115392,6.6553310037416775,0
"Test7174",2,3,"SB",1,18.368059,56.287802,1,18.57095586017027,43.469812696377474,12.819595037427993,0
"Test17244",3,3,"SB",1,18.368059,56.287802,1,16.34306291387462,51.727501067199086,4.9896847341819095,0
"Test21017",5,3,"SB",1,18.368059,56.287802,1,16.697801014851162,49.710594408603534,6.785972401747354,0
"Test87030",10,3,"SB",1,18.368059,56.287802,1,16.697801014851162,49.710594408603534,6.785972401747354,0
"Test6781",10,3,"SB",1,17.867292,43.020041,1,16.697801014851162,49.710594408603534,6.791996324919557,0
"Test53151",5,3,"SB",1,17.867292,43.020041,1,16.697801014851162,49.710594408603534,6.791996324919557,0
"Test39878",3,3,"SB",1,17.867292,43.020041,1,18.63289363614248,47.82872958068108,4.869253713993208,0
"Test30871",2,3,"SB",1,17.867292,43.020041,1,2.7849066105234073,35.846253129984824,16.701544283109687,0
"Test27356",2,3,"SB",1,10.355779,62.313577,1,3.330723970203585,42.75474833122141,20.782184126465232,0
"Test57000",3,3,"SB",1,10.355779,62.313577,1,12.910737889204334,24.92071975577766,37.480042526821066,0
"Test66766",5,3,"SB",1,10.355779,62.313577,1,16.28948071618967,55.42145482406705,9.094512859119998,0
"Test23777",10,3,"SB",1,10.355779,62.313577,1,14.931222182094961,48.77084035933358,14.294768134916636,0
"Test86285",10,3,"SB",1,9.0204,43.572864,1,14.12235707740082,35.4140194397381,9.6227184609213,0
"Test70090",5,3,"SB",1,9.0204,43.572864,1,4.5670443011638975,47.95638266958951,6.248808919065757,0
"Test3998",3,3,"SB",1,9.0204,43.572864,1,18.632407243131546,56.05452060197914,15.753806992969755,0
"Test18232",2,3,"SB",1,9.0204,43.572864,1,14.910271657001388,47.55191801088969,7.107985576626166,0
"Test96255",2,3,"SB",1,13.193462,30.636797,1,17.407513396184523,35.127004394522466,6.157937285772642,0
"Test70001",3,3,"SB",1,13.193462,30.636797,1,17.09925265014433,33.501720399714934,4.8438607214688805,0
